C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
60232,Customer#000060232,"e,guU9D9,Vd9cUtYJ3 l7ZtgLZ,wJPFrZr",5,15-521-188-6665,1561.02,FURNITURE, of the furiously bold packages nag carefully even ideas. quickly regular acco
60034,Customer#000060034, XHRzdojlNAuRjTNRn7A1aL9OYJj56nud1sVss,14,24-991-831-7826,7230.69,AUTOMOBILE,"sts. final packages along the daringly bold ideas haggle blithely slyly careful requests. unusual, bold as"
60082,Customer#000060082,"x3V6vEbLSeUjYdjS1MvR2,u4gB0S 9d8UEJ",0,10-729-863-1818,3645.47,BUILDING, the accounts. furiously unusual
60167,Customer#000060167,"sH, lKiGiBBX1CNH3f",18,28-135-212-2126,5975.62,BUILDING, theodolites alongside of the accounts are carefully pending excuses. quickly special f
60175,Customer#000060175,"myer,fZs67qwpyK5Fco",7,17-185-780-6401,3415.99,MACHINERY," sly, even excuses wake above the blithely final platelets. boldly final dolphins cajole slyly along the bold id"
60191,Customer#000060191,xLaBiZc9jAIOEl68T6mwXWWCdeySHNYGT,7,17-592-684-8835,4341.99,HOUSEHOLD,is. unusual foxes wake furiou
60323,Customer#000060323,EKSXOZrYiRAvU3Ip3hKqOdgCNkIk,6,16-366-964-3076,5958.05,FURNITURE,"s. packages sleep regularly among the ironic, pending requests. blithely final theod"
60463,Customer#000060463,NVoVg XLAlXVJ,15,25-137-389-8865,951.2,BUILDING,te slyly carefully special requests. carefully final asymptotes cajole furio
60469,Customer#000060469,eS5lyG0CRgbTtZP6V9o09WPh7P0jxqOaU7u,18,28-765-965-8370,1484.46,FURNITURE,"eans nag slyly. furiously bold asymptotes are carefully against the final orbits. ironic, bold ins"
60511,Customer#000060511,"s3j6hzaDQc41B6nzIvE4h5J6Ij9BK,L",7,17-954-567-7209,834.14,HOUSEHOLD,iously. requests are fluffily. furiously bold accounts boost carefully express dolph
60517,Customer#000060517,1pxWcyEHYya doTaGfiuX9di91TDXbxwaix6Wv5,3,13-227-115-4750,3022.31,MACHINERY," use slyly after the final, unusual requests. requ"
60524,Customer#000060524,"B,lREqzH9Z4Y",4,14-300-742-7579,2879.99,HOUSEHOLD," lose blithely slyly special accounts. quiet, ironic pinto beans detect alongside of t"
60533,Customer#000060533,2dMC5adhFe kicZfR,10,20-882-573-2624,3944.52,BUILDING,s wake blithely regularly ironic gifts. slyly i
60581,Customer#000060581,"g87SLp,4MoLIxl0ElO8l3",4,14-550-496-5569,4492.16,HOUSEHOLD, bold excuses haggle slyly alongside of the carefully even requests. furiously even accounts sleep slyl
60679,Customer#000060679,zIpcnCJ6PU5SUiy75JoiH,23,33-830-268-3855,6758.85,HOUSEHOLD,y. ironic dependencies cajole slyly. carefully ironic accounts wake. regular deposits solve bravely.
60721,Customer#000060721,"wL154ADAg4He,awe0CyAYyCLzX39",18,28-508-442-9156,1181.63,MACHINERY,y regular pinto beans nag against
60740,Customer#000060740,l9lMuly1DHLdrG2tVQSpa46Knc8FxgWAa,6,16-885-998-7009,6830.88,AUTOMOBILE,d quickly among the regular acc
60364,Customer#000060364,  DAUOsp1a2zl2QKbyDTfhQDsjJYXBU8,22,32-883-871-2830,9741.89,BUILDING,e regular ideas. special deposits solve carefully bold platelets. slyly unusual ideas are blithely. request
60371,Customer#000060371,"BJt5U,JR1anLDcIt1Oyh44,",4,14-558-880-7251,5223.42,FURNITURE,p blithely above the final accounts. closely regular foxes haggle slyly about the deposits; pending depend
60409,Customer#000060409,uGMljFScEWGIGN0eNyQY,13,23-991-600-8093,2261.31,BUILDING,nic deposits. even accounts after the slyly ironic foxes nag slyly across the silent patterns. final asympt
60488,Customer#000060488,9Lq90v8mgEfmd 3a18Ipy,18,28-489-167-2074,5477.85,FURNITURE,ecial theodolites are express foxes! thinly fi
60502,Customer#000060502,KXhk9aCwQHv887oLKDDS6,1,11-682-973-9335,7108.04,AUTOMOBILE,ar ideas are quickly furiously express deposits. regul
60628,Customer#000060628,bBSnZ4c79JP9LZqsCtnlCiuy4u2A0UY5,21,31-591-681-1089,1718.29,AUTOMOBILE,"f the final, bold ideas wake "
60724,Customer#000060724,EoiHlUs1gxmV6,6,16-259-872-8728,4997,AUTOMOBILE, the blithely even pinto beans. requests nag furiously stealthily ironic platelets. carefu
60353,Customer#000060353,"DybnF,9MnIbpPIXZgZp bhpJwz",6,16-625-463-8932,410.4,HOUSEHOLD,int-- blithely pending dependencies alongside 
60397,Customer#000060397,nBbBTQi6LN81V4Qb2Wvr,11,21-386-374-7144,9698.02,BUILDING,"ending, regular accounts believe silently amon"
60454,Customer#000060454,RHPoC7zESCMh2,23,33-934-232-8830,2342.25,BUILDING,es are. furiously express accounts 
60491,Customer#000060491,"Trivb6wiy5JfDDKakQwm,TZg83",19,29-659-235-5345,7054.85,BUILDING," to the final, express packages. blithely expr"
60536,Customer#000060536,mlyJuRXfVed MNyIin,12,22-164-440-3884,9524.32,BUILDING,t the blithely regular packages
60568,Customer#000060568,63Ru8MF 3sPsniJnSecp6BDjrpBF,19,29-272-976-9580,6239.1,AUTOMOBILE,"ong the even, bold pinto beans. carefully pending ideas mold slyly even accounts: blithely regular"
60616,Customer#000060616,"V2dmQcPOWpeIc Ex9R4xnRUC,ghN889ee9WyjzQN",6,16-198-113-2709,5902.25,FURNITURE,ly. furiously regular foxes affix after the regular foxes. carefully express accoun
60265,Customer#000060265,zD X2MZfTLRmGH3d3VI9gorCRwZX6HI,8,18-697-986-1878,5561.62,MACHINERY, after the final packages haggle fluffily theodolites. ironic requests integrate. carefully ironic accounts along t
60283,Customer#000060283,smE3Ux11wH7pP,3,13-712-139-9710,8678.87,FURNITURE,"ctions. express, regular instructions boost blithely above the regular, "
60451,Customer#000060451,82NE NabioHWTNcMR0589bHzsusuAwR95u,22,32-354-378-7735,1665.91,HOUSEHOLD,"le-- special, regular notornis grow ironic,"
60482,Customer#000060482,aX5fha6SwiNeL OGfSQTymPZ8z65BD1uS5,5,15-202-994-9977,3152.82,HOUSEHOLD,y unusual instructions among the slyly final packages cajole 
60526,Customer#000060526,LMKxuAKL9L3Ytvje07OHRM7PxGqK,10,20-472-333-7763,9780.97,AUTOMOBILE, ruthless instructions sleep fluffily carefu
60562,Customer#000060562,46BhQsJ1GvLT8isGTGrvpxJxvDE10iIAmM4,18,28-274-351-6974,4921.25,HOUSEHOLD, accounts. blithely unusual dolphins unwind quickly. deposi
60614,Customer#000060614,tWiFkMzUgKe,21,31-850-306-2683,9560.03,HOUSEHOLD,encies. furiously silent asymptotes against the furiou
60634,Customer#000060634,rVtdqXVnF6DENKxk9,9,19-741-268-2270,5609.84,MACHINERY,ests sleep furiously final requests. blithely final courts alongside of the caref
60637,Customer#000060637,uunvcCJ0e1Z2ex6,6,16-472-857-1068,-362.19,BUILDING,ep. quickly regular packages nag. fluffily pending requests sleep above the blithe
60706,Customer#000060706,"mrjgPkmMtALCpaIC7le6fs,btJve1TGoG5aj",8,18-989-618-3502,695.1,BUILDING,ecial instructions? furiously iro
60749,Customer#000060749,"EW9LhOE90YX9,B",18,28-326-691-4355,639.33,FURNITURE,r ideas haggle. quickly ironic instructions are above the
60808,Customer#000060808,xCtjB6jM61DbbXogAosyPcrW,20,30-891-441-4830,6635.12,AUTOMOBILE,"press requests alongside of the sly, express deposits are furiously un"
60896,Customer#000060896,xt4IChjyJHQILMLMmgLrwj9nt,20,30-395-470-8924,8803.52,BUILDING,"ages across the packages boost at the regular, regular accounts. fluffily re"
60970,Customer#000060970,VbMFZDEIqhw,18,28-225-937-1533,3984.9,FURNITURE,out the slyly even warhorses. thinly final deposits haggle silentl
61172,Customer#000061172,bSYzdf2yawyHQKIZGZYIO1cpKIiE,18,28-538-657-2859,7352.63,AUTOMOBILE,structions. blithely regular dep
61199,Customer#000061199,"9M RQoqyMelHT3Oh 0t1KDK,DtvMRW",18,28-345-200-3272,9552.52,FURNITURE,"r dolphins. express accounts sleep furiously along the even, regular packages. fluffil"
61285,Customer#000061285,f4em4t1R7CEORW,24,34-181-130-4542,9533.67,HOUSEHOLD,", even accounts. deposits wake"
61313,Customer#000061313,xVgQlCpQHmKTkWnsHYEsg,9,19-871-427-8814,5874.63,AUTOMOBILE,"packages. ironic, ironic pinto beans affix "
61354,Customer#000061354, HVddMUaM1U,1,11-777-790-3981,6505.04,MACHINERY,metimes furious asymptotes. furiously unusu
61376,Customer#000061376,"RChvjBVPcVY15sZZR3I,cjog",17,27-919-306-3397,5142.63,MACHINERY,efully never ironic dolphins. caref
61381,Customer#000061381,bCnLdDiJ8pFRrP1JcFZLeAMWmiGzpGJpVC,12,22-691-400-6898,285.49,HOUSEHOLD,ly even packages. quickly regular ideas alongside of the enticingly express pinto beans engage regular ins
61453,Customer#000061453,RxNgWcyl5RZD4qOYnyT3,15,25-819-925-1077,9999.99,BUILDING,es. carefully regular requests among the blithely pending requests boost slyly alo
61492,Customer#000061492,"p,2xm9Ejo0FPkeKcvfZq3U3lf,uTLzaQd",19,29-449-301-4949,4755.73,AUTOMOBILE,"carefully final instructions wake furiously. ironic, final requests shall use fu"
61505,Customer#000061505,GbrSCpkj3cF6e6SmIQx,18,28-247-136-1299,5254.41,HOUSEHOLD,sits. quick accounts sleep slyly regular courts. thin pinto beans sublate about the furio
61567,Customer#000061567,2XVj2nKBqYrTsOlAw,14,24-398-980-8534,1669.51,AUTOMOBILE, accounts. carefully thin waters are slyly final theodolites. final deposits haggle alongside of 
61702,Customer#000061702,eK8nNgBASpyAuNkMCeZjyqGMV1c40cDHG,18,28-277-965-7654,9937.48,FURNITURE,ng to the regular foxes sleep regularly final dependencies. courts integrate closely slyly sly ideas. express the
61759,Customer#000061759,61zViSJL1dY4w 9dXLzgBog9wPxEIu6nGPA,22,32-661-727-8695,8776.64,HOUSEHOLD,"ar accounts wake furiously. ironic, regular"
61781,Customer#000061781,"DEL2hKz,QGjy06LE7HRUpjaX8ZlBQJAEiDYpGy",9,19-828-987-3189,3154.49,AUTOMOBILE,blithely permanent platelets run quickly above the accounts. carefully silent forges nag idly about 
60827,Customer#000060827,b gCoVO9KIA,6,16-253-299-1077,4342.53,HOUSEHOLD,"counts are slyly unusual foxes. bold, regular asymptotes wake slyly fluffil"
60985,Customer#000060985," 9h6rf1A1butAwbj2qdqLVdLR,XX",14,24-768-451-9505,5087.85,MACHINERY, the packages. ironically express deposits haggle furiously express foxes. re
61117,Customer#000061117,HMsqTY6VVEAcQMHPtS8iC Pt,6,16-786-935-1216,-746.4,AUTOMOBILE, carefully final theodolites are blithe
61213,Customer#000061213,gY03PXoiL3FQeIYUzHjMBK4rGYUIVioyaIUJ,19,29-373-697-5034,2487.65,MACHINERY,refully final accounts. quickly final pin
61273,Customer#000061273,iONUYGSTbkkzy3Zdl,8,18-309-338-3449,8992.63,MACHINERY,ts. slyly even foxes are across the carefully express gifts: unusua
61337,Customer#000061337,"PleDP4L,dKJ4 w4",10,20-898-319-2938,2057.1,MACHINERY,es detect doggedly pending deposits. carefully
61382,Customer#000061382,RRFzaZI bt3F,3,13-332-999-3863,121.03,AUTOMOBILE,nly alongside of the packages. fluffily express accounts wake acr
61397,Customer#000061397,9q3yGw75IWp,12,22-368-201-3326,9029.8,MACHINERY,y ironic requests lose according to the unusual asymptotes. regular packages sleep furiously along the carefully pe
61549,Customer#000061549,NfXPDXzjUB,18,28-401-750-8881,7359.31,HOUSEHOLD,ions about the unusual accounts sleep against the slyly regular ideas. furiously ironic orbits nag slyly blithely 
61558,Customer#000061558,5oe4IVuirL6JKieH3LMsgcl3dfl2NA,1,11-722-912-8437,7326.99,AUTOMOBILE,"ending, regular requests. blithely regular packages after the evenly even depths boost blithely slyly ironic war"
60848,Customer#000060848,TD444bf8u9yu457YYG,24,34-611-541-7253,2826.72,AUTOMOBILE,ular packages. busily ironic 
60892,Customer#000060892,"uuEkDJC,n6xCj470jFWWFszwLPUUXP2LX9",15,25-689-652-4823,9660.81,HOUSEHOLD,ls! quickly even deposits sleep carefully special dolphins. pending theodolites nag express accou
60925,Customer#000060925,upDn0KiRMY6LMDIHeaxKIvk5I,5,15-834-391-2323,4687.39,HOUSEHOLD,about the final foxes integrate carefully ideas. slyly ironic instr
60928,Customer#000060928,WvSHOKAvybJFFlfVJPS2E06Uh6IepDWex UM,9,19-880-531-9900,7270.25,MACHINERY, bold excuses. pending accounts grow. slyly ironic packages cajole quietly id
60983,Customer#000060983,4YN6HlUZJH,12,22-525-218-4056,1167.09,MACHINERY,ions. careful requests are slyly carefully special packages. quickly p
61151,Customer#000061151,JbS9W6jBVqA0vvicnf8aOxgVUi8paNBidd7m1,20,30-745-568-5098,6146.75,HOUSEHOLD,onic deposits. slyly bold requests are slyly among the bold deposit
61154,Customer#000061154,H4J65H2dICGWUWfBRzFXlJlIchwQzmmWFSsm65,14,24-674-306-2821,-308.26,MACHINERY,r accounts sleep slyly. silent excuses wake regular foxes. slyly speci
61186,Customer#000061186,"v1pg7bXgrx,IDYZZQ1gHZ01kAKvymG,1UXGZqQ 3",3,13-808-801-7782,2780.8,BUILDING, carefully unusual requests haggle carefully at the ironic packages. slyly regular deposits h
61300,Customer#000061300,c31S2A3DPYNx137Dsc6GwxL,19,29-858-990-5245,1064.28,MACHINERY,eep blithely. furiously regular requests cajole unusual accounts. regular accounts sleep evenly. busy accounts amo
61303,Customer#000061303,xbVVWsWz4G8bdSVmn  SPYG9  EPTGo0canRaQm,16,26-380-148-2444,3998.69,MACHINERY,ckages cajole blithely. blithely bold foxes cajole according to the furiously ironic 
61513,Customer#000061513,WmwhyGvw8zHmqdfrl,1,11-674-982-7357,128.44,HOUSEHOLD,"y carefully unusual packages. express, final accounts haggle furiously "
61523,Customer#000061523,"x,cCbl4T4 xISvXDFfvl",23,33-577-810-1912,1932.62,HOUSEHOLD,"refully express, bold foxes. pinto beans cajole finally. ironic pinto beans are along the blithel"
61556,Customer#000061556,xupb58LofPLH,12,22-486-400-4209,5029.9,AUTOMOBILE,alongside of the always slow theodolites. final epitaphs across the sly
61615,Customer#000061615,9dbgksp JzMahoqoUu4rS1HdRtZrA4,5,15-493-845-3297,8021.28,BUILDING,"l deposits. blithely pending packages around the regular, ironic pinto beans detect blithely a"
61775,Customer#000061775,"t,LcN4U lRkN2bsHoE8o2UgH6F6K7ibuU",20,30-129-526-3736,5164.67,MACHINERY,"ly furious, even foxes. pending foxes boost. regular platelets sleep-- regular, silent waters"
60772,Customer#000060772,3BM7YXnZL4KgXbp1ndZe2zlBNr3w MS9ytDWm8P,9,19-414-368-1080,8371.86,HOUSEHOLD,ts. carefully ironic pinto beans nod slyly blithely express accounts. quick
60799,Customer#000060799,bb2jUF 1wQLTZXHcuDB23wbeKqhcJPJGJoeYj,8,18-548-363-8146,3410.94,FURNITURE,eas. quickly regular theodolites wake blithely ironic sentiments. blithely special theodolites nag against t
60850,Customer#000060850,jtLARZhroQ0rb,9,19-655-911-5465,1080.5,AUTOMOBILE,"s cajole carefully according to the carefully regular deposits. blithely ironic deposits along the silent, reg"
60851,Customer#000060851,2xyNCgvd697N70Zb8TWhdyDg3k7,14,24-891-449-2297,7982.27,AUTOMOBILE,cies across the fluffily regular 
60977,Customer#000060977,"Q I0,ioy0kr1j4pi6nvSecLFcW3llK",17,27-851-264-5106,4064.86,FURNITURE,"lyly unusual theodolites. final, regular "
61060,Customer#000061060,"vHtd,ZWaMD8C9K8wP,",23,33-631-825-3157,8471.24,HOUSEHOLD,"ke ironic packages. blithely special excuses cajole regular, ironic escapades. blithel"
61201,Customer#000061201,"KCS9oBiwI7G5MVZ,s8MVFpOyXxtmDn,Jt",17,27-235-388-2178,1926.37,AUTOMOBILE,ng to the carefully unusual packages: final packages use slyly final packages. furiously pending
61372,Customer#000061372,"gdPFcsW1P,HQvBTmz",22,32-173-550-1937,-556.93,BUILDING,"cial requests. express ideas use thinly across the regular, unusual requ"
61411,Customer#000061411,xHLgx3fUzTAdubqFu,12,22-184-690-5513,4679.14,HOUSEHOLD,longside of the slyly even theodolites. final excuses affi
61429,Customer#000061429,UMU5g9ap8ZFYQ6efVg5C26HrnHwwoD,16,26-116-341-9573,7265.36,FURNITURE,tly against the express requests. carefully ironic pinto beans alongside of the fluffily fi
61454,Customer#000061454,"h,QNv,3R,wO",5,15-955-559-1226,9850.89,HOUSEHOLD,nal sentiments cajole blithely ironic foxes. carefully final instructions
61573,Customer#000061573,zoUoxfdq5hBV5AzzjrPxr,0,10-564-335-2028,99.81,HOUSEHOLD,s sleep quickly above the requests. finally bold 
61660,Customer#000061660,gGTqf6j pto2fbAjNQpEWE,6,16-708-857-4867,964.78,MACHINERY,"slyly ironic accounts use furiously regular, regular pinto beans. s"
61736,Customer#000061736,7A5PZybiAwhdh9vYCM,18,28-815-431-5930,7372.25,BUILDING,uests. slyly unusual accounts cajole caref
61762,Customer#000061762,"c6P28e31,qj2MHqLWe1yLXGTM01sttRs7Dt6v Xh",12,22-440-110-6341,8754.24,BUILDING,"ress requests. silent, regular platelets wake quickly final depende"
61792,Customer#000061792,TghqyrAAGwdl5rmDO1lyxg,8,18-400-850-8767,5675.27,BUILDING,pliers. carefully dogged accounts are carefully against the furiously bold c
61940,Customer#000061940,R4PGbiiwTuKItB8Hs,17,27-760-860-7448,1851.44,MACHINERY,nding deposits kindle slyly under the quickly regular orbits. fluffily ev
61987,Customer#000061987,96A3RNdI2BegYKgBG,11,21-588-452-4628,3351.62,BUILDING,heodolites boost. blithely bold deposits about the slyly close ideas doubt ironic foxes
62099,Customer#000062099,ud3JA483dwehUK2 NkDKnFEG6r,0,10-863-487-4103,6870.27,FURNITURE,fily regular foxes. regular packages affix blithely. quickly
62150,Customer#000062150,GGQs8XOrldDEyVSvOuxJ3JxwqC50Sj,16,26-608-643-6516,69.88,BUILDING,atelets sleep against the ironic accounts: furiously special accounts across the slyly silent decoys boost car
62224,Customer#000062224,njgqxYV8KQ,8,18-264-618-9941,6590.93,HOUSEHOLD,final excuses haggle carefully within the fluffily pending requests. blithely regular pack
62228,Customer#000062228,"lsQWCstxfiU2RrFcnJdRgXaaed g,gbJ",11,21-856-140-5668,7030.21,MACHINERY, packages above the blithely pending theodolites sleep after the unusual frets. special requests are. carefully ev
62323,Customer#000062323,Of3PrzcB02RT ,2,12-404-743-1584,7871.87,BUILDING,"d, pending foxes. carefully final deposits haggle carefully. slyly even excuses wake. bli"
62351,Customer#000062351,"4Ln5PHecwJWw G7rN,135gem1dd",23,33-180-212-6313,-210.42,AUTOMOBILE,heodolites are slyly packages. carefully express ideas sleep slowly against the special req
62354,Customer#000062354, Vo HNoTa8DXKtxKIoqbLAggZGsEPvcuCLV mDd,5,15-815-230-4634,3237.15,HOUSEHOLD,equests run carefully above the furiously bold attainments. regular decoys
62419,Customer#000062419,"SH E qC, x",17,27-757-559-9967,2475.42,BUILDING,l sentiments detect above the slyly even packages. final requests sleep blithely. carefully
62428,Customer#000062428,C8NOEgcNNtiPGq3o,20,30-171-450-1114,2583.44,FURNITURE,nal requests haggle furiously. busily regular requests boost idly slyly special accounts. pendi
62429,Customer#000062429,MHhrJwg05YxYH6I3Wb,15,25-291-258-8496,916.55,HOUSEHOLD,carefully unusual packages nag quickly even packages! quickly final pinto beans haggle slyly furiously final 
62500,Customer#000062500, 7dbk2AWxay2T klitTv,10,20-294-757-4988,5471.5,FURNITURE,"ns. ideas are blithely alongside of the regular, ironic accounts. slyly even deposits integ"
62509,Customer#000062509,"Yx,Inf4F6KbpWgY6iftDnQnomElXqqBMjrpJ",19,29-483-501-9846,7294.16,BUILDING,ts sleep carefully. pending deposits thrash. fluffily even accounts against the ruthless excu
62527,Customer#000062527,"WecW1CDw9v4j5pVXOgZg6MQLemRGSWE,9ssKr",15,25-694-777-2991,4944.8,MACHINERY,osits. furiously express requests alongside of the busily even ideas sleep furiously unusual packag
62566,Customer#000062566,ccaO3PC4UKm LHPWNl6m0eJ5rZirHWYeiPfli,15,25-918-497-2563,6861.6,AUTOMOBILE,ccording to the even accounts. flu
62567,Customer#000062567,"OSf,Osp5xBNjqgVHz0IGberITLrB7",14,24-446-605-9943,7946.93,FURNITURE,; furiously special theodolites haggle furiously among the ruthlessly express foxes. fi
62573,Customer#000062573,"JUkO1sv,QdS7lPtpR1npZfMBJOWl",18,28-190-406-1769,7704.11,FURNITURE,"counts sleep bold packages; final, even ideas use careful"
62702,Customer#000062702,"vWZZ7ZmQ,HOcylKV2e8007pwJ7IXxXa2",7,17-584-303-2704,3428.54,BUILDING,"ide of the ironic, regular foxes detect slyly silent requests. slyly ironic deposits nod fluffily: car"
62921,Customer#000062921,F2AwDqOrv3IPmZOLXErXXpgA,16,26-381-199-5160,9925.84,BUILDING,"furiously pending, regular pinto beans; furiously even deposits around the blithely special requests "
62926,Customer#000062926,uxlX82p4TsSg698W,14,24-860-115-1437,8530.6,MACHINERY,ously unusual dependencies. slyly even platelets wake. quickly unusual requests use furiously furiously bold pinto
62993,Customer#000062993,"9J1,BbaWsM IEO",20,30-579-979-8987,9376.76,FURNITURE,foxes. foxes promise. carefully express theodolites across the silen
63182,Customer#000063182,q96kd vcqoriM67sToU2q09QHe17gS,11,21-501-163-2583,9490.68,FURNITURE,counts dazzle. always express excuse
63379,Customer#000063379,c9AsD0ZeuEv0UH29fHJqJPTyrghrTBW9c,12,22-454-810-3257,1281.1,MACHINERY,ckages. regular pinto beans play slyly pending somas. blithely express deposits 
63383,Customer#000063383,PZVL3Pa1h vxW9MsQlJBeo3,15,25-994-485-6953,9644.53,HOUSEHOLD, enticing theodolites. slyly ironic deposits nag above th
63397,Customer#000063397,fPVt67pE0r,7,17-225-913-3400,3461.18,AUTOMOBILE,tes affix furiously. carefully even theodolites haggle packages. ideas 
63418,Customer#000063418,p07jM57SkhjiykYNNLSrnuBJgK5GUY2NH,21,31-471-304-2195,-442.22,BUILDING,"s deposits. blithely express deposits across the final, pending accounts run quickly above the bold, un"
63568,Customer#000063568,l75L Vz6feYFW3wmP9GD ,3,13-570-947-1946,3806.43,MACHINERY,"sts sleep furiously. slyly ironic platelets along the even, bold theodolites haggle against the slyly even"
63592,Customer#000063592,CjqDp4oik3E2EA46zNXTdJt,23,33-529-409-7377,8773.1,HOUSEHOLD,"express, even accounts nag. bravely special deposits sleep carefully furiously ironic accou"
63607,Customer#000063607,"etemfrwnJlrT,u3kZSp1uN8VM54WpqDHD",0,10-761-757-3224,127.53,BUILDING,"s, regular pinto beans are furiously. carefully bold foxes cajole thinly against the pending ide"
63644,Customer#000063644,e abvclH3ItrKJ K hEJKb36pQjYI3D,21,31-936-353-8412,2688.74,BUILDING,blithely final requests detect carefully abo
63659,Customer#000063659,"8BPSRaH7lYkIqmQm9M,h2ib",9,19-694-230-9585,3457.49,MACHINERY,uctions solve quickly. carefully special platelets wake. carefully regular theodo
63698,Customer#000063698,",N2ZXTPog9PIzCJ2fjkmI0",12,22-422-842-2441,9083.53,FURNITURE,yly. fluffily even deposits according to the bold patterns integrate furiously fin
63817,Customer#000063817,", 4EKRVbMapa6MVwwi9O9pkrcoti8qXWuCR1Ob",7,17-744-638-2538,8731.1,BUILDING, the carefully bold pinto beans. quickly final theodolites are caref
61819,Customer#000061819,rrIf5WmVyw8smbL7lMMPgauhVIwj7,7,17-159-203-1885,2165.26,MACHINERY,"g against the regular, bold requests. regular accounts can haggle carefully regular pinto beans. slyly ironic accou"
61820,Customer#000061820,7x0S4ETND9a PaTKF0Nxmrjdk kLDMvsCE5TlAQ,2,12-544-445-1975,1483.01,MACHINERY,as boost furiously blithely even 
61834,Customer#000061834,Yel830Q501tetVZ9sXgERg1LwO,12,22-509-958-1071,6312.66,BUILDING,nt platelets integrate even excuses. slyly regular requests haggle carefully slyly pending
61942,Customer#000061942,"Z1dtRdI,8KmeShzcQkYCHI",7,17-955-350-2236,-200.93,MACHINERY,s poach furiously asymptotes. furiously silent packages affix beneath the fina
62033,Customer#000062033,YlogrvSEDF42EaqQqrtwjgvbgb8IXTXJVJds,8,18-927-142-4028,3485.27,FURNITURE, express ideas use after the slyly regular requests. regular requests around t
62056,Customer#000062056,iAO3umk2vULc,12,22-384-391-1824,4040.51,FURNITURE,kages. ironic theodolites affix slyly across the furiously iron
62113,Customer#000062113,xLlLEbUPxlAw,0,10-696-777-9678,8796.2,FURNITURE,"lites. final, express instructions cajole among the special deposits."
62128,Customer#000062128,qFT p137sA85DZTbBnf6ds,22,32-297-309-5828,1356.41,BUILDING,n requests. blithely final requests snooze quickly. reque
62153,Customer#000062153,"PRYSIdE2l4wqgEM4Hul9,q",3,13-360-846-7096,5476.3,MACHINERY,l deposits. express accounts are slyly whithout the regular deposits. furiously special pinto beans accor
62185,Customer#000062185,0YOnoqRkclJaoSnIzAGf,9,19-709-639-2603,8322.02,FURNITURE,"ccording to the bold, pending theodolites cajole closely regular, even requests. quickly brave"
62399,Customer#000062399,RnozKb4tlP,23,33-188-317-8613,3936.27,HOUSEHOLD,mong the regular pinto beans. regular requests hagg
62732,Customer#000062732,mCPCsyR4FtZg9wkgI3x5u9skHC,21,31-904-817-5045,7201.49,HOUSEHOLD," theodolites. even, even theodol"
